#K Chi2
0.03 127.371571385
0.031 119.728997542
0.032 112.426370841
0.033 105.454718007
0.034 98.8000525191
0.035 92.4499113971
0.036 86.392720958
0.037 80.6173852624
0.038 75.1098848215
0.039 69.8666097188
0.04 64.8728066364
0.041 60.1176614618
0.042 55.5896970086
0.043 51.2777496699
0.044 47.1712951112
0.045 43.260646178
0.046 39.5372144975
0.047 35.9932407751
0.048 32.622051937
0.049 29.4181519186
0.05 26.3773320765
0.051 23.4987305928
0.052 20.7899006635
0.053 18.2595814206
0.054 15.9154998666
0.055 13.7643266069
0.056 11.8116365197
0.057 10.0618570779
0.058 8.51859029575
0.059 7.18427228808
0.06 6.06036354305
0.061 5.1474060776
0.062 4.44509287873
0.063 3.95232557594
0.064 3.66729771061
0.065 3.58758674059
0.066 3.71002505182
0.067 4.03129736172
0.068 4.54756754645
0.069 5.25470241904
0.07 6.14835696956
0.071 7.22400502462
0.072 8.47677824927
0.073 9.90156031783
0.074 11.4930889163
0.075 13.2460262613
0.076 15.1550323615
0.077 17.2148406581
0.078 19.4203358184
0.079 21.7666335976
0.08 24.2491628572
0.081 26.864215839
0.082 29.6103621288
0.083 32.4611975472
0.084 35.4642087144
0.085 38.5969741082
0.086 41.8588929336
0.087 45.2501494938
0.088 48.7684966721
0.089 52.414762436
0.09 56.2089287336
0.091 60.1003690938
0.092 64.1162075361
0.093 68.2565033762
0.094 72.5210950585
0.095 76.9096233346
0.096 81.4215032776
0.097 86.0559067704
0.098 90.811736985
0.099 95.687668115
0.1 100.682046716
0.101 105.7918343
0.102 111.006242321
0.103 116.320776995
0.104 121.719783453
0.105 127.191543012
0.106 132.722831783
0.107 138.299641063
0.108 143.907086352
0.109 149.529526335
0.11 155.151488395
0.111 160.755475217
0.112 166.33181253
0.113 171.870917099
0.114 177.362974902
0.115 182.797912072
0.116 188.165444174
0.117 193.454889672
0.118 198.655391235
0.119 203.756611289
0.12 208.745266798
0.121 213.610370323
0.122 218.340172296
0.123 222.922709297
0.124 227.345481055
0.125 231.609653622
0.126 235.668285651
0.127 239.527063047
0.128 243.170816385
0.129 246.583179302
0.13 249.746676898
